Remove,Duplicated,Tweet.Id,Date,Time,Text,PC,Username,City,NonCity,Memos,Missing,Coder_Initials,PC_Verbs,PC_Subjects,PC_2
0,Unique,1269896070370336768,2020-06-08,7:36:31,"RT @TheSwaggDr: RT @desusnice: it's monday. arrest the cops who killed Breonna Taylor.

#JusticeforBreonnaTaylor #BlackLivesMatter https://t.co/nasvkpWDIe",ADDRESSING ISSUE IN ANOTHER CITY,blmlasvegas,"Las Vegas, NV",0,,0,AS,ADDRESSING,ISSUE IN ANOTHER CITY,CELEBRATING POLICY VICTORY
0,Unique,1266476972009390080,2020-05-29,21:10:14,"***TONIGHT***
Open Season on Us - Solidarity with Minneapolis

WHERE Meet up at Oak Park Market
TIME 6pm - 8pm
ADDRESS 3300 12th Ave, Sacramento, CA 95817

WHERE A MASK https://t.co/jYoo1ZDjEJ",ADVISING MASK WEARING,BLMSacramento,"Sacramento, CA",0,,0,AS,ADVISING,MASK WEARING,ENCOURAGING PROTEST SAFETY
0,Duplicated,1267225375915913216,2020-05-31,22:44:08,"@CharlieV_ Message for all #LASVEGAS #BLM protestors. Do not protest tonight at DOWNTOWN SUMMERLIN. This is private property and is not covered under our 1st amendment rights. If we gather there we risk being arrested for criminal trespassing!

https://t.co/A7w5vRfQm6",ADVISING PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,blmlasvegas,"Las Vegas, NV",0,INTERESTING,0,AS,ADVISING,PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,UPDATING PROTEST ACTIVITIES
0,Duplicated,1267225472644988928,2020-05-31,22:44:31,"@iguanas_ Message for all #LASVEGAS #BLM protestors. Do not protest tonight at DOWNTOWN SUMMERLIN. This is private property and is not covered under our 1st amendment rights. If we gather there we risk being arrested for criminal trespassing!

https://t.co/A7w5vRfQm6",ADVISING PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,blmlasvegas,"Las Vegas, NV",0,INTERESTING,0,AS,ADVISING,PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,UPDATING PROTEST ACTIVITIES
0,Duplicated,1267225375915913216,2020-05-31,22:44:08,"@CharlieV_ Message for all #LASVEGAS #BLM protestors. Do not protest tonight at DOWNTOWN SUMMERLIN. This is private property and is not covered under our 1st amendment rights. If we gather there we risk being arrested for criminal trespassing!

https://t.co/A7w5vRfQm6",ADVISING PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,blmlasvegas,"Las Vegas, NV",0,INTERESTING,0,AS,ADVISING,PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,UPDATING PROTEST ACTIVITIES
0,Duplicated,1267225472644988928,2020-05-31,22:44:31,"@iguanas_ Message for all #LASVEGAS #BLM protestors. Do not protest tonight at DOWNTOWN SUMMERLIN. This is private property and is not covered under our 1st amendment rights. If we gather there we risk being arrested for criminal trespassing!

https://t.co/A7w5vRfQm6",ADVISING PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,blmlasvegas,"Las Vegas, NV",0,INTERESTING,0,AS,ADVISING,PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY,UPDATING PROTEST ACTIVITIES
0,Unique,1267242738384175104,2020-05-31,23:53:07,Our people on the ground say LVMPD already on site at Downtown Summerlin. Avoid!!!,ADVISING PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY	INTERESTING,blmlasvegas,"Las Vegas, NV",0,,0,AS,ADVISING,PROTESTERS TO NOT GO TO A SITE ON PRIVATE PROPERTY	INTERESTING,UPDATING PROTEST ACTIVITIES
0,Unique,1266062720937472000,2020-05-28,17:44:09,"Women of color already struggle to get the reproductive healthcare we need. It's even worse now with the coronavirus ravaging our communities, so we're joining with @ACLU and @acog in a lawsuit challenging federal limits on abortion pills! READ: https://t.co/sQEoHLW1Dt via @vice. https://t.co/edAkVF46JN",ADVOCATING FOR ABORTION ABORTION PILL ACCESS,SisterSong_WOC,"Atlanta, GA",0,,0,AS,ADVOCATING,FOR ABORTION ABORTION PILL ACCESS,DEMANDING ABORTION ACCESS
0,Unique,1267901575042707456,2020-06-02,19:31:06,"""My justice doesn't come until Black liberation"" - Oluchi Omeoga, Black Visions co-founder https://t.co/78psae2GAx",ADVOCATING FOR BLACK LIBERATION,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,ADVOCATING,FOR BLACK LIBERATION,INTERSECTIONALIZING MOVEMENT
0,Unique,1271964742509309952,2020-06-14,0:36:41,"“To my fellow Black folks living with disabilities... know you are not a coward. You are not a failure. You are loved. You are worthy.”
-@TahirahAGreen #BlackDisabledLivesMatter",ADVOCATING FOR DISABILITY INTERSECTIONALITY,SisterSong_WOC,"Atlanta, GA",0,,0,AS,ADVOCATING,FOR DISABILITY INTERSECTIONALITY,INTERSECTIONALIZING MOVEMENT
0,Unique,1267964089717800704,2020-06-02,23:39:31,"We are building a Movement here at home, Stronger together #BlackLivesMatter #BlackOutTuesday #seattleprotests #CapitolHill #seattleprotest",ADVOCATING FOR LOCAL MOVEMENT,SeattleBLM,"Seattle, WA",0,,0,AS,ADVOCATING,FOR LOCAL MOVEMENT,MISC
0,Unique,1266509052269363200,2020-05-29,23:17:43,#Update the #BLMHOU protest ended @ 4p. Our organizer @AshtonPWoods had heat exhaustion and had to be treated by EMTs. Ty for coming today &amp; remember to uplift #GeorgeFloyd &amp; his fam. https://t.co/Q2z20ntUFx,ANNOUNCING PROTEST CHANGES,BLMHOU,"Houston, TX",0,,0,AS,ANNOUNCING,PROTEST CHANGES,UPDATING PROTEST ACTIVITIES
0,Unique,1266509169152098304,2020-05-29,23:18:11,"There are still ongoing protests (unrelated to our event) b safe &amp; if there are arrests please contact us at blmhou@gmail.com, we will try to help with bail and attys. Be safe. https://t.co/vlQbTdtdTE",ANNOUNCING PROTEST CHANGES,BLMHOU,"Houston, TX",0,,0,AS,ANNOUNCING,PROTEST CHANGES,UPDATING PROTEST ACTIVITIES
0,Unique,1268293011403833344,2020-06-03,21:26:32,Sorry we been quiet. We been busy af.,APPOLOGIZING FOR NOT POSTING MORE,BLMSacramento,"Sacramento, CA",0,,0,AS,APPOLOGIZING,FOR NOT POSTING MORE,MISC
0,Unique,1269793532702646272,2020-06-08,0:49:04,"Sorry for the very late name change. We’ve addressed it on our Instagram page, first and foremost. Thank you for supporting us, and we’re very sorry for not being as active on Twitter! Since Twitter only allows four photos to be uploaded in one tweet, we’ll be cutting. https://t.co/VD7oPm1Bdt",APPOLOGIZING FOR ORGANIZATIONAL LOGISTICS,hi4blacklives,"Honolulu, HI",0,INTERESTING--STATING THEY ARE MORE ACTIVE ON INSTAGRAM; SEEMS A LITTLE DISORGANIZED; THEY ARE YOUTH ORGANIZERS; EXPLANATION OF WHO THEY ARE AND WHAT THEY DO,0,AS,APPOLOGIZING,FOR ORGANIZATIONAL LOGISTICS,MISC
0,Unique,1268956715900379136,2020-06-05,17:23:51,"@NickBur82093563 So do we, typing in outrage at out right racism will cause you to make typos, especially when you're passionate about your work. Receive the message!!!",APPOLOGIZING FOR TYPO,BLM_216,"Cleveland, OH",0,,0,AS,APPOLOGIZING,FOR TYPO,MISC
0,Unique,1266020625761603584,2020-05-28,14:56:53,"“Less policing made the city no less safe. Without meaning to, police provided a case study for police reform advocates.” https://t.co/NsJGrQOmkd",ARGUING THAT MORE POLICE DOES NOT EQUAL MORE SAFETY,justcitydetroit,"Detroit, MI",0,,0,AS,ARGUING,THAT MORE POLICE DOES NOT EQUAL MORE SAFETY,ENCOURAGING PEOPLE TO CONTACT LOCAL OFFICIALS
0,Unique,1269750444340981504,2020-06-07,21:57:51,Junauda says “We deserve more than the police” https://t.co/TUftux1GmE,ARGUING THAT POLICE ARE A DEGENERATE RESOURCE,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,ARGUING,THAT POLICE ARE A DEGENERATE RESOURCE,CONDEMNING POLICE
0,Unique,1265287300747071488,2020-05-26,14:22:55,What’s your favorite app to watch LIVE videos on?,ASKING FOLLOWERS FOR THEIR FAVORITE LIVE STREAMING AP,BlackYouthProj,"Chicago, IL",0,,0,AS,ASKING,FOLLOWERS FOR THEIR FAVORITE LIVE STREAMING AP,SURVEYING FOLLOWERS
0,Unique,1266355510225375232,2020-05-29,13:07:36+00:00,Donate!!! https://t.co/PI7lOke2FI,REQUESTING DONATION,indy10people,"Indianapolis, IN",0,.,0,AMC,REQUESTING,DONATION,REQUESTING DONATION
0,Unique,1266776717173145600,2020-05-30,17:01:19,"Please, if you can, get the supplies and drop them off at donation sites. We need to protect our people more than ever (we already know the police aren’t for us). We will be updating drop off sites in the thread throughout the day. https://t.co/cu21O52OxR https://t.co/tOHWniFHDh",ASKING FOR DONATIONS AT DROPOFF SITES,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,ASKING,FOR DONATIONS AT DROPOFF SITES,REQUESTING DONATION
0,Unique,1268599745167020032,2020-06-04,17:45:23,Black activists to allies: Thanks for your statement of solidarity. What else are you doing to help? https://t.co/TsNTmmjvs1,REQUESTING SUPPORT,BLMSacramento,"Sacramento, CA",0,,0,AS,REQUESTING,SUPPORT,REQUESTING DONATION
0,Unique,1266347841238204416,2020-05-29,12:37:07+00:00,Further details coming soon about standing in solidarity with Minneapolis but in the mean-time we need everyone to call today for justice for Dreasjon Reed! #BlackLivesMatter https://t.co/XC8XzQWwHj,REQUESTING PARTICIPATION,indy10people,"Indianapolis, IN",0,.,0,AMC,REQUESTING,PARTICIPATION,ENCOURAGING PARTICIPATION
0,Unique,1267786663725420544,2020-06-02,11:54:29,@JaneenHaleigh @kawikakekoa you can be an activist from home! share flyers and spread the word! https://t.co/xiZbb8B8Y9,ASKING FOR RETWEETS,hi4blacklives,"Honolulu, HI",0,VERY SOFT AND PASSIVE PRESENCE ONLINE FROM THIS GROUP,0,AS,ASKING,FOR RETWEETS,ENCOURAGING ONLINE PARTICIPATION
0,Unique,1267341204053790720,2020-06-01,6:24:23,SIGNAL BOOST 4 COMMUNITY. PLEASE RETWEET https://t.co/FOX0f0vXxM,ASKING FOR RETWEETS,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,ASKING,FOR RETWEETS,ENCOURAGING ONLINE PARTICIPATION
0,Unique,1268429555573768192,2020-06-04,6:29:06,Please dont tag us in shit that is going to include the mayor or the police...we dont march with pigs or those that let the pigs kill us!,ASKING PEOPLE TO NOT TAG THIS ACCOUNT WITH MAYOR OR POLICE,BLMSacramento,"Sacramento, CA",0,,0,AS,ASKING,PEOPLE TO NOT TAG THIS ACCOUNT WITH MAYOR OR POLICE,ADVISING PROTESTERS
0,Unique,1267053681238659072,2020-05-31,11:21:52,@digitalurn @PplsCityCouncil @ricci_sergienko @MayorOfLA @LAPDChiefMoore How can we support you?,ASKING POLITICIANS HOW THEY CAN SUPPORT THEM,BLMLA,"Los Angeles, CA",0,INTERESTING,0,AS,ASKING,POLITICIANS HOW THEY CAN SUPPORT THEM,MISC
0,Unique,1269236359203557120,2020-06-06,11:55:03,Where will the proceeds be going? https://t.co/NmVyxDPC3k,ASKING SOCCER CLUB WHERE BLM FUNDRAISING MONEY WILL GO,BLMLouisville,"Louisville, KN",0,,0,AS,ASKING,SOCCER CLUB WHERE BLM FUNDRAISING MONEY WILL GO,WARNING OF BAD ACTORS
0,Unique,1269236612371820544,2020-06-06,11:56:04,Where y'all think they should be donating? Let them know! https://t.co/EiEkdM3t3P,ASKING THE PUBLIC WHERE THE FUNDS FROM SOCCER CLUB FUNDRAISING SHOULD GO,BLMLouisville,"Louisville, KN",0,,0,AS,ASKING,THE PUBLIC WHERE THE FUNDS FROM SOCCER CLUB FUNDRAISING SHOULD GO,WARNING OF BAD ACTORS
0,Unique,1265479066183806720,2020-05-27,3:04:55,What do folks need on the ground in Minneapolis? We got folks in Sac that want to help out! #GeorgeFloyd,ASKING WHAT PROTESTERS IN MINNEAPOLIS NEED,BLMSacramento,"Sacramento, CA",0,,0,AS,ASKING,WHAT PROTESTERS IN MINNEAPOLIS NEED,OFFERING RESOURCES
0,Unique,1268997007395500032,2020-06-05,20:03:58,"""People call for peace, but what is your plan for peace?"" @nourbese  from @BW4WLA #RJ4BlackLives",ASKING WHAT THE PLAN FOR PEACE IS,SisterSong_WOC,"Atlanta, GA",0,,0,AS,ASKING,WHAT THE PLAN FOR PEACE IS,CRITICIZING OFFICIALS
0,Unique,1265488704056946688,2020-05-27,3:43:13,@VitalistInt where do donations go,ASKING WHERE DONATIONS GO,BLMSacramento,"Sacramento, CA",0,,0,AS,ASKING,WHERE DONATIONS GO,REQUESTING DONATION
0,Unique,1265490692010151936,2020-05-27,3:51:07,@KeaonDousti what orgs are on the ground...where can we send money to help out?,ASKING WHERE TO SEND SUPPORT,BLMSacramento,"Sacramento, CA",0,,0,AS,ASKING,WHERE TO SEND SUPPORT,REQUESTING DONATION
0,Unique,1266625603110703104,2020-05-30,7:00:51,"So @GovTimWalz has been talking to Trump to send more troops to Minnesota. You are coordinating with a man whose entire platform is hate and you are choosing to work with him. You don't really care about our safety. We knew that, but now everybody else does too.",ASSOCIATING GOVERNOR WITH TRUMP,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,ASSOCIATING,GOVERNOR WITH TRUMP,CRITICIZING OFFICIALS
0,Unique,1267152284464513024,2020-05-31,17:53:41,Systematic racism is YOU calling in additional armed forces on Black people mourning the death of a Black man caused by officers in YOUR state. Make it make sense. https://t.co/n2lWZoeBvq https://t.co/DWIErOWW8F,ASSSOCIATING THE AMPLIFICATION OF FORCES WITH SYSTEMATIC RACISM,BlackVisionsMN,"Minneapolis, MN",0,"THERE ARE A LOT OF TWEETS THAT TAKE A TERM AND PROPORT TO GIVE AN EXAMPLE OF IT--LIKE ""THIS IS SYSTEMATIC RACISM"" THIS IS STRUCTURAL RACISM THIS IS THE BLACK EXPERIENCE, THIS IS INEQUALITY ETC. ",0,AS,ASSSOCIATING,THE AMPLIFICATION OF FORCES WITH SYSTEMATIC RACISM,REDEFINING RACISM
0,Unique,1269688774562320384,2020-06-07,17:52:48,@KLEveritt @BurghProtests @alex_anderham Hey thanks for voicing your concerns. The origins and truth of protest fliers are factors that we have been  trying to be more mindful of. Each flier thats been retweeted and mentioned in the past couple days have been checked.,ASSURING FOLLOWERS OF THE ACCURACY OF PROTEST FLIERS,BLMPittsburgh,"Pittsburgh, PA",0,,0,AS,ASSURING,FOLLOWERS OF THE ACCURACY OF PROTEST FLIERS,UPDATING PROTEST ACTIVITIES
0,Unique,1269326471434252288,2020-06-06,17:53:08,#DavidMcAtee a beloved member of our community would still be alive if @GovAndyBeshear hadn't called in the National Guard. Make demands of him &amp; @louisvillemayor to #defundpolice &amp; #DefendBlackLife,BLAMING DEATH OF DAVID MCATEE ON MAYOR CROWD SUPPRESSION,BLMLouisville,"Louisville, KN",0,,0,AS,BLAMING,DEATH OF DAVID MCATEE ON MAYOR CROWD SUPPRESSION,CRITICIZING OFFICIALS
0,Unique,1267235926318567424,2020-05-31,23:26:03,Any injuries that this targeting has caused is on your hands @MayorFrey @GovTimWalz,BLAMING MAYOR FOR VIOLENCE,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,BLAMING,MAYOR FOR VIOLENCE,CRITICIZING OFFICIALS
0,Unique,1266919622458200064,2020-05-31,2:29:10,"Any chaos that happens tonight is YOUR fault, you and @MayorFrey",BLAMING MAYOR PREEMPTIVELY FOR VIOLENCE,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,BLAMING,MAYOR PREEMPTIVELY FOR VIOLENCE,CRITICIZING OFFICIALS
0,Unique,1267342988306341888,2020-06-01,6:31:29,"These downtown &amp; midtown businesses been hitting up BLM Sac to beg 4 empathy..saying they support us....we live tomorrow about that shit!
Also not to forget, that WHITE FOLKS fucked up those business....but they're assuming it is us!

You aint BEEN supporting Black Lives!?!!!",BLAMING WHITE PEOPLE FOR BUSNESS DISTRUCTION IN SAC,BLMSacramento,"Sacramento, CA",0,INTERESTING,0,AS,BLAMING,WHITE PEOPLE FOR BUSNESS DISTRUCTION IN SAC,ADVISING OR CRITIQUING WHITE ALLIES
0,Unique,1267345938319736832,2020-06-01,6:43:12,Ain’t no kneeling ass pig gonna stop the revolution!,CALLING COPS PIGS,BLMSacramento,"Sacramento, CA",0,,0,AS,CALLING,COPS PIGS,ANTAGONIZING POLICE
0,Unique,1272223076328103936,2020-06-14,17:43:12,"Abolition, feminism now!",CALLING FOR ABOLITION AND FEMINISM,Dreamdefenders,0,1,,0,AS,CALLING,FOR ABOLITION AND FEMINISM,DEMANDING ABOLISHING POLICE
0,Unique,1272227560437448704,2020-06-14,18:01:01,We need Black radical unity!,CALLING FOR BLACK RADICAL UNITY,Dreamdefenders,0,1,,0,AS,CALLING,FOR BLACK RADICAL UNITY,CELEBRATING BLACKNESS
0,Unique,1266149723053883392,2020-05-28,23:29:52,"To be clear; as an abolitionist organization, the solution is not to feed more people into the prison industrial complex. MInneapolis Police Department and all police forces need to be defunded.",CALLING FOR DEFUNDING POLICE,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,CALLING,FOR DEFUNDING POLICE,DEMANDING DEFUNDING POLICE
0,Unique,1267284015964401664,2020-06-01,2:37:09,@crhhudson @cartographer91 Which is why we our calling for the defunding of police departments across the country we are asking for folks to stop donating to the blue lives matter campaign and to cease all donations to police fundraisers as well as police endorsements.,CALLING FOR DEFUNDING POLICE,BLM_216,"Cleveland, OH",0,,0,AS,CALLING,FOR DEFUNDING POLICE,DEMANDING DEFUNDING POLICE
0,Unique,1269865673364140032,2020-06-08,5:35:44,If you participated in the protests and want to call out the PPD’s violence leave your feedback here: https://t.co/W6mBtbnmKU https://t.co/Vz94X7eXu9,CALLING FOR FEEDBACK ON LOCAL POLICE BEHAVIOR,blmsaPDX,"Portland, OR",0,SEOND TIME SEEING SOMETHING LIKE THIS,0,AS,CALLING,FOR FEEDBACK ON LOCAL POLICE BEHAVIOR,DEMANDING POLICE REFORM
0,Unique,1272223996206108672,2020-06-14,17:46:52,@CoreyRachel Will put it as many places as possible! Upload to YouTube with captions and a blog or medium link so folks can read it at least. Let us know if you’ve got any suggestions.,CALLING FOR HELP SHARING ANGELA DAVIS TALK,Dreamdefenders,0,1,,0,AS,CALLING,FOR HELP SHARING ANGELA DAVIS TALK,SHARING PUBLIC TALK
0,Unique,1268993851554922496,2020-06-05,19:51:25,"""We work for liberation of our people..we cannot achieve Black liberation without queer and trans liberation."" @DrKrystalRedman #RJ4BlackLives",CALLING FOR INTERSECTIONAL ACTIVISM,SisterSong_WOC,"Atlanta, GA",0,,0,AS,CALLING,FOR INTERSECTIONAL ACTIVISM,INTERSECTIONALIZING MOVEMENT
0,Unique,1271993055965589504,2020-06-14,2:29:11,"RIGHT ON! Our #SustainingCommunity partner, @WomanProjectHQ is at the Rhode Island State House for an ARTivist action. They’re doing projections to make it clear there’s no LGBT equality without racial justice.  — #BlackTransLivesMatter! #NoCopsAtPride! https://t.co/F4tOXEnoc6",CALLING FOR NO COPS AT PRIDE,SisterSong_WOC,"Atlanta, GA",0,,0,AS,CALLING,FOR NO COPS AT PRIDE,DEMANDING POLICE REFORM
0,Unique,1267155471405703168,2020-05-31,18:06:21,Change your social media profile pictures to the image below this week to show that you are committed to being in defense of Black lives. #DefundPolice #DefendBlackLife https://t.co/80nGmvtnpu,CALLING FOR PEOPLE TO CHANGE THEIR PROFILE PICTURE TO SHOW SOLIDARITY,BlackVisionsMN,"Minneapolis, MN",0,THAT THIS ORGANIZATION SEEMS INTERESTED IN NATIONAL MOVEMENTS THIS MOVE IS INTERESTING--DID THIS CHANGE IN THE COURSE OF A FEW DAYS--DID THEY BECOME NATIONAL THIS WEEK?,0,AS,CALLING,FOR PEOPLE TO CHANGE THEIR PROFILE PICTURE TO SHOW SOLIDARITY,ENCOURAGING ONLINE PARTICIPATION
0,Unique,1268986706742607872,2020-06-05,19:23:02,"""Encourage folks to learn more about what to do instead of calling the cops. What is prison abolition? What does it mean to #DefundPolice and create #PoliceFreeSchools? Let's dig in to study and let's organize."" @CharleneCac #RJ4BlackLives",CALLING FOR POLICE ALTERNATIVES,SisterSong_WOC,"Atlanta, GA",0,,0,AS,CALLING,FOR POLICE ALTERNATIVES,IMAGINING FUTURES
0,Unique,1267155470222942208,2020-05-31,18:06:21,Today we make space for collective mourning and resilience as we get in touch with what is required of us in this moment. Mobilize in solidarity with activists and organizers across the country and world saying enough is enough.,CALLING FOR PROTEST PARTICIPATION,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,CALLING,FOR PROTEST PARTICIPATION,ENCOURAGING PARTICIPATION
0,Unique,1267155467765047296,2020-05-31,18:06:20,"The Movement For Black Lives, and organizers mobilizing across the country, invite you to rise up with us and say no more! We are calling for a week of action June 1st to 5th In Defense of Black Lives.",CALLING FOR PROTEST PARTICIPATION,BlackVisionsMN,"Minneapolis, MN",0,INTERESTING--NATIONAL CALL,0,AS,CALLING,FOR PROTEST PARTICIPATION,ENCOURAGING PARTICIPATION
0,Unique,1265860902248644608,2020-05-28,4:22:12,"#DesmondFranklin was shot in the head by an off duty Cleveland police officer Jose Garcia April 9th, the officer has not been fired or arrested after shooting through Desmond's passenger side window killing him instantly. #JusticeForDesmond https://t.co/3rFV0W4dSu",CALLING FOR PUNISHMENT FOR OFFICER,BLM_216,"Cleveland, OH",0,,0,AS,CALLING,FOR PUNISHMENT FOR OFFICER,DEMANDING ACCOUNTABILITY
0,Unique,1266494186477494272,2020-05-29,22:18:39,"Hey Minneapolis, if you have any supplies please load them up and head to the US Bank parking lot on West Broadway. This community is majority Black and we want to make sure people have what they need. https://t.co/W1d6nc1INz",CALLING FOR RESOURCES TO MINNEAPOLIS PROTESTERS,BlackVisionsMN,"Minneapolis, MN",0,,0,AS,CALLING,FOR RESOURCES TO MINNEAPOLIS PROTESTERS,REQUESTING DONATION
0,Unique,1269171328894017536,2020-06-06,7:36:39,"RT @MH_TheSocialist: @trymainelee @fangpusskins @JanellRoss Our leadership has failed us. We need to be calling for a Constitutional Convention right now. Demand our governor's fix our constitution. It is in their power to do that with the convention!

#… https://t.co/s5JeB8RUWY",CALLING FOR STATE CONSTITUTIONAL CHANGES,blmlasvegas,"Las Vegas, NV",0,SEEMS TO BE FOR ANOTHER STATE,0,AS,CALLING,FOR STATE CONSTITUTIONAL CHANGES,DEMANDING POLICE REFORM
0,Unique,1269661143888547840,2020-06-07,16:03:00,"#JusticeforBreonnaTaylor #defundpolice #defendBlackLife make sure you keep the pressure on @louisvillemayor, @GovAndyBeshear and Metro Council to #divestfromlmpd. We want the murders of #BreonnaTaylor and #DavidMcAtee fired and charged with MURDER. https://t.co/Gw8SS7HtdF",CALLING FOR THE FIRING OF LOCAL OFFICERS,BLMLouisville,"Louisville, KN",0,,0,AS,CALLING,FOR THE FIRING OF LOCAL OFFICERS,DEMANDING ACCOUNTABILITY
0,Unique,1268654920305172480,2020-06-04,21:24:38,"The world is watching, Minneapolis. It’s time for the visionary leadership necessary to create the safety our communities deserve. #DefundMPD #DefundPolice

Sign our petition if you haven’t yet, and please share!! https://t.co/t50CLmkZMv https://t.co/TmNvXDQ8iT",CALLING FOR VISONARY LEADERSHIP,BlackVisionsMN,"Minneapolis, MN",0,THIS PETITION I HAVE SEEN SHARED BEFORE,0,AS,CALLING,FOR VISONARY LEADERSHIP,IMAGINING FUTURES
0,Unique,1268998877425872896,2020-06-05,20:11:23,"""Take to your communications channels and NAME the things you will do differently and how you will move differently..there are plans and demands and actions. Share it using #RJ4BlackLives. We cannot and will not go back to business as usual."" @superkwa @FWHC",CALLING ON PEOPLE TO PUBLICLY PLEDGE TO CHANGE THEIR BEHAVIOR,SisterSong_WOC,"Atlanta, GA",0,INTERESTING DEMAND; DEMAND OF PUBLIC,0,AS,CALLING,ON PEOPLE TO PUBLICLY PLEDGE TO CHANGE THEIR BEHAVIOR,ENCOURAGING ONLINE PARTICIPATION
