"","date.x","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","name","age","gender","race","date.y","cause_of_death","wapo_armed","wapo_threat_level","officer_known_past_shootings","year","mappingPreGF","mappingPostGF","mappingBlackOnlyPreGF","mappingBlackOnlyPostGF"
"946",2017-03-15,"urbana, illinois","education; racism","students","for improved recruitment of black students",0,12,12,12,17019,"1777005",42718,7011,6131,5430,21443,4618,721,2128,11690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026",2017-03-22,"bowling green, ohio","racism","BGSU Students","Protest racism and against White Supremacy Groups",1,NA,NA,NA,39173,"3907972",31526,2006,1300,3203,13332,1814,161,650,12452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205",2017-03-30,"easthampton, massachusetts","racism","High school students","Protest racism",1,200,200,200,25015,"2519370",15960,300,300,3046,12545,1537,197,127,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1495",2017-04-12,"selinsgrove, pennsylvania","racism","staff and faculty","against prejudice, harrassment, and discrimination",1,60,60,60,42109,"4269216",5927,259,129,605,2985,232,65,57,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670",2017-04-24,"ypsilanti, michigan","policing; racism","students","protest in response to St. Louis County grand jury decision not to charge Ferguson police officer in connection with shooting; against police brutality; against racism",0,100,100,100,26161,"2689140",20828,5868,5205,2243,9699,1471,156,325,6641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1687",2017-04-29,"pikeville, kentucky","racism","Traditionalist Workers Party","white supremacists",0,NA,NA,NA,21195,"2160852",6810,199,122,723,4314,322,300,110,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1688",2017-04-29,"pikeville, kentucky","racism","Antifacist","against white supremacists; against racism",0,NA,NA,NA,21195,"2160852",6810,199,122,723,4314,322,300,110,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",2017-05-01,"northfield, minnesota","racism","students","protesting racism",0,200,200,200,27131,"2746924",20347,404,238,2629,10411,1425,370,507,6008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",2017-05-01,"northfield, minnesota","racism","students","anti-racism",0,200,200,200,27131,"2746924",20347,404,238,2629,10411,1425,370,507,6008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2438",2017-05-15,"waltham, massachusetts","education; racism","high school students","against racist instagram comments by fellow student",1,600,600,600,25017,"2572600",62777,4450,4008,12611,42824,8174,1053,1389,9011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2992",2017-05-26,"belmont, massachusetts","racism","students and teachers","protest against racial slur on social media",0,NA,NA,NA,25017,"2505105",26113,384,383,4417,18054,5319,1696,2179,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4098",2017-06-17,"mayfield, new york","racism","KKK","Raise awareness for upcoming Klan rally",2,NA,NA,NA,36035,"3646206",814,0,0,97,567,34,11,4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4574",2017-06-24,"smithtown, new york","legislative; racism; women's rights","Long Island Transgender Advocacy Coalition","Oppose failure of State Senate to bring the Gender Expression Non-Discrimination Act, to a vote",0,15,15,15,36103,"3667851",26260,220,107,4506,18620,3445,843,270,1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5518",2017-08-12,"iowa, iowa","racism","general protestors","Protesting violence/racism in Charlottesville",1,36,36,36,19103,"1938595",74950,6203,5887,11120,39626,6628,2498,3175,20646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6005",2017-08-13,"homer, alaska","racism","general protestors","Protesting violence/racism in Charlottesville",1,50,50,50,2122,"0233140",5709,29,29,824,4157,514,76,82,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6281",2017-08-13,"avalon, california","racism","general protestors","Protesting violence/racism in Charlottesville",1,27,27,27,6037,"0603274",3731,4,4,352,2595,97,79,62,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6590",2017-08-13,"greenwich, connecticut","racism","Indivisible Greenwich","Protesting violence/racism in Charlottesville",1,100,100,100,9001,"0933690",13287,1022,1019,2919,9451,1947,603,227,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6591",2017-08-13,"middletown, connecticut","racism","general protestors","Protesting violence/racism in Charlottesville",1,152,152,152,9007,"0947290",46511,7043,6554,6498,31747,3886,790,878,5737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7124",2017-08-13,"newburyport, massachusetts","military; racism","general protestors","demonstration for peace; protesting violence/racism in Charlottesville",1,NA,NA,NA,25009,"2545245",18077,310,310,4647,13474,2963,382,422,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7228",2017-08-13,"chapel hill, north carolina","racism","general protestors","Protesting violence/racism in Charlottesville",1,NA,NA,NA,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7297",2017-08-13,"saxapahaw, north carolina","racism","The Alamance NAACP","Protesting violence/racism in Charlottesville",1,NA,NA,NA,37001,"3759580",1599,37,37,200,1189,21,7,39,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7308",2017-08-13,"geneva, new york","racism","general protestors","Protesting violence/racism in Charlottesville",1,NA,NA,NA,36069,"3628640",12787,1320,1149,1091,7207,596,115,278,2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7364",2017-08-13,"rhinebeck, new york","racism","Hudson Valley Strong Indivisible","Protesting violence/racism in Charlottesville",1,150,150,150,36027,"3661346",2570,35,12,367,2096,438,57,109,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7481",2017-08-13,"ardmore, pennsylvania","racism","general protestors","Protesting violence/racism in Charlottesville",1,316,316,316,42091,"4202896",12808,1198,1198,2907,9299,2300,734,430,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7491",2017-08-13,"lewisburg, pennsylvania","racism","general protestors","Protesting violence/racism in Charlottesville",1,100,100,100,42119,"4242976",5723,105,18,504,2718,482,32,333,2190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7492",2017-08-13,"meadville, pennsylvania","racism","general protestors","Protesting violence/racism in Charlottesville",1,120,120,120,42039,"4248360",12864,696,507,1218,8439,530,161,163,1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7493",2017-08-13,"milford, pennsylvania","racism","general protestors","Protesting violence/racism in Charlottesville",1,NA,NA,NA,42103,"4249400",1172,41,41,147,895,80,4,31,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7770",2017-08-13,"gig harbor, washington","racism","Indivisible Gig Harbor","Protesting violence/racism in Charlottesville",1,150,150,150,53053,"5326735",9854,69,64,1909,6983,805,371,203,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7915",2017-08-14,"morristown, new jersey","racism","Make the Road New Jersey; Wind of the Spirit; NJ 11th for Change","solidarity with the survivors of Charlottesville's white supremacist terrorist attack",1,NA,NA,NA,34027,"3448300",18909,1658,1605,4777,13931,2334,678,334,888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8017",2017-08-14,"ashland, ohio","racism","Ashland Center for Nonviolence; Ohio 7 Together","Protesting violence/racism in Charlottesville",1,75,75,75,39005,"3902568",20390,301,200,2275,12946,1001,136,118,2361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8018",2017-08-14,"maumee, ohio","racism","Toleda NAACP","Protesting violence/racism in Charlottesville",1,350,350,350,39095,"3948342",13797,355,355,2090,9996,1057,238,175,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8056",2017-08-14,"yachats, oregon","racism","general protestors","Oppose the alt-right march in Charlottesville",1,40,40,40,41041,"4184200",553,0,0,91,494,73,19,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8217",2017-08-14,"stoughton, wisconsin","racism","clergy leaders","speak out against the violence and racism in Charlottesville",1,NA,NA,NA,55025,"5577675",13097,189,189,2150,9007,760,108,74,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8583",2017-08-15,"dunkirk, new york","racism","general protestors","Oppose white supremacist violence in Charlottesville",1,200,200,200,36013,"3621105",11865,608,608,800,8252,470,9,52,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8641",2017-08-15,"bethlehem, pennsylvania","racism","Bethlehem NAACP","Protesting violence/racism in Charlottesville",1,25,50,38,42095,"4206088",75461,6323,5897,8765,49881,3894,1027,880,8379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8727",2017-08-16,"traverse, michigan","racism","Grand Traverse Band of Ottawa and Chippewa Indians","against visit by Christopher Columbus replica ships",0,NA,NA,NA,26055,"2680340",15570,232,170,3356,11356,1391,303,195,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8923",2017-08-17,"simsbury, connecticut","racism","State Rep. Hampton","Protesting violence/racism in Charlottesville",1,200,200,200,9003,"0969010",6154,102,99,1699,4570,1058,160,47,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8924",2017-08-17,"milton, massachusetts","racism","Milton Board of Selectmen; Milton Interfaith Clergy Association; Milton Persists","Denounce white supremacist violence",1,NA,NA,NA,25021,"2541725",27572,4161,4070,5676,17820,3550,924,717,2618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9084",2017-08-18,"brainerd, minnesota","racism","general protestors","unite against hate",1,180,180,180,27035,"2707300",13373,366,335,891,8883,324,82,67,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9146",2017-08-18,"phoenixville, pennsylvania","racism","organizers Chris Brickhouse and Republican borough councilman Michael Kuznar","stand against white supremacy",1,300,400,350,42029,"4260120",16895,1535,1518,3753,12354,1485,134,135,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9406",2017-08-19,"iowa, iowa","racism","Chelsea Pfeiffer; Hannah Russell","protest a vendor's pro-white nationalist social media comments",1,10,10,10,19103,"1938595",74950,6203,5887,11120,39626,6628,2498,3175,20646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9489",2017-08-19,"rockland, maine","civil rights; free speech; racism","general protestors","oppose Boston Free Speech white supremacist rally",1,50,50,50,23013,"2363590",7178,0,0,1047,5258,547,80,67,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9831",2017-08-19,"franklin, ohio","racism","Greater Dayton Chapter of Showing Up for Racial Justice","Stand in solidarity with Charlottesville; stand against the white supremacist violence Confederate statues and monuments celebrate",1,NA,NA,NA,39165,"3928476",11705,66,66,706,7862,283,54,20,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9832",2017-08-19,"franklin, ohio","racism","general protestors","oppose removal of confederate statue",2,NA,NA,NA,39165,"3928476",11705,66,66,706,7862,283,54,20,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10621",2017-08-20,"walpole, massachusetts","military; racism","organizer Susan Kershaw","speak out against racism that convulsed Charlottesville, Va",1,40,40,40,25021,"2572460",6197,93,93,1309,4322,552,81,85,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10697",2017-08-20,"plattsburgh, new york","racism","general protestors","unity rally against white supremacy",1,10,15,12,36019,"3658574",19465,811,410,1703,10945,1475,260,238,3819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10698",2017-08-20,"lakewood, ohio","racism","Action Together Lakewood Area","Protesting swastikas painted on driveways",0,200,200,200,39035,"3941664",50259,2810,2753,10634,36706,4535,1336,551,2384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10811",2017-08-22,"chapel hill, north carolina","racism","general protestors","Call for removal of confederate statue ""silent Sam""",1,800,800,800,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11777",2017-08-27,"covington, indiana","racism","organizer Trent Dunham","raise awareness about racial tensions across the country",1,NA,NA,NA,18045,"1815490",2439,16,6,217,1751,109,29,6,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11778",2017-08-27,"belchertown, massachusetts","racism","Belchertown Voices for Justice","Raly against hate",0,NA,NA,NA,25015,"2504790",2874,15,15,355,2017,381,18,63,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11779",2017-08-27,"belchertown, massachusetts","racism","Belchertown Voices for Justice","show unity after the white supremacist newspaper known as The Crusader showed up in local mailboxes",NA,20,20,20,25015,"2504790",2874,15,15,355,2017,381,18,63,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11807",2017-08-27,"fairport, new york","racism","Metro Justice; ISO; Rochester Black Rosa","condemns recent acts of white supremacists",1,200,200,200,36055,"3625076",5349,5,5,1101,4067,781,191,138,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11863",2017-08-27,"plainview, new york","racism","Long Island Advisory Committee for the Anti-Defamation League","Break the Hate rally",1,450,450,450,36059,"3658442",26453,129,111,6206,18622,4192,1281,355,1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11929",2017-08-27,"millersburg, ohio","racism","general protestors","anti-racist, anti-Nazi",1,200,200,200,39075,"3950372",3172,23,12,267,2373,46,8,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11930",2017-08-27,"wooster, ohio","racism","Wooster/Orrville NAACP","CommUNITY Rally against the appearance locally of KKK recruiting fliers",1,1000,1000,1000,39169,"3986548",26673,918,761,2642,17237,1650,248,442,3277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11986",2017-08-28,"somerville, new jersey","racism","organizers Kristen Mehrbach, Donna Volpe, Andrea Stathatos, Michelle Edgar, Karen Gaffney and Jen Kitchen","Community for Unity; decry bigotry, racism, neo-Nazis and White Supremacists",1,300,300,300,34035,"3468460",12085,1302,1222,2228,8318,999,233,131,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12064",2017-08-29,"kingston, new york","policing; racism","general protestors","condemn police brutality and racism after area man's arrest",0,30,30,30,36111,"3639727",23070,3605,3521,2276,16035,1479,249,297,872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12065",2017-08-30,"mansfield, connecticut","racism","The Dodd Center","Vigil for memory and justice; solidarity with Charlottesville; against racism",0,200,500,350,9013,"0945120",939,5,5,135,569,140,51,26,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12127",2017-08-31,"chapel hill, north carolina","racism","general protestors","Protesting confederate statue",1,200,200,200,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12128",2017-08-31,"east rutherford, new jersey","policing; racism","members of the Philadelphia Eagles","Oppose police brutality and racism",1,3,3,3,34003,"3419510",9584,584,584,2313,7187,523,138,25,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12390",2017-09-06,"chapel hill, north carolina","racism","general protestors","Protesting confederate monument",1,40,40,40,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12485",2017-09-11,"amherst, massachusetts","education; racism","students","Protesting racism after a noose was found on campus",0,200,200,200,25015,"2501360",20409,897,361,916,3762,734,220,497,15081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12487",2017-09-11,"bryan, texas","racism","general protestors","Protesting planned, then cancelled, white supremacist rally",1,NA,NA,NA,48041,"4810912",84096,14317,13217,8147,51437,3480,807,1239,7147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12572",2017-09-13,"kirkwood, missouri","judiciary; policing; racism","general protestors","murder trial of officer stockley; black lives matter",0,NA,NA,NA,29189,"2939044",27708,1556,1521,6975,19770,4119,913,703,806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12586",2017-09-14,"newport, rhode island","racism; religion","Mercy Center for Spiritual Life","Rally supporting religion; protesting white supremacy",1,NA,NA,NA,44005,"4449960",24663,1762,1563,5498,17143,2509,545,504,2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13800",2017-10-01,"falmouth, massachusetts","racism","general protestors","Rally for racial justice",1,60,60,60,25001,"2523070",3540,92,92,733,3091,412,65,172,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13801",2017-10-01,"holyoke, massachusetts","racism","general protestors","Rally for racial justice",1,200,409,304,25013,"2530840",40241,1826,1731,3561,26855,1872,248,106,1716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13805",2017-10-01,"grand marais, minnesota","racism","general protestors","Rallying against racism",0,150,150,150,27031,"2724992",1332,1,0,263,1010,92,21,26,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13816",2017-10-01,"glens falls, new york","racism","general protestors","Rally for racial justice",1,61,125,93,36113,"3629333",14340,251,243,1647,10264,1073,210,63,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14064",2017-10-09,"holland, ohio","racism","general protestors","Confederate flag rally",2,NA,NA,NA,39095,"3935882",1660,129,121,229,1265,69,7,0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14342",2017-10-13,"sturgis, south dakota","racism","Students","Rally for racial justice",1,30,30,30,46093,"4662100",6796,91,91,738,4912,304,0,0,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14395",2017-10-15,"lincoln, alabama","racism","general protestors","Protesting confederate flag, white supremacy",1,1,1,1,1121,"0143120",6681,1850,1836,692,4909,132,12,20,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14829",2017-10-16,"cliffside park, new jersey","education; racism","high school students","Protesting racist statement made by a teacher",0,24,100,62,34003,"3413570",25126,912,912,5157,19006,2027,665,297,1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14830",2017-10-17,"college park, maryland","racism","Greater Washington Muslim-Jewish Forum","Spread Hummus, Not hate; Promoting unity among racial tensions",0,30,30,30,24033,"2418750",32159,6203,4736,3091,12443,2093,321,624,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14869",2017-10-20,"coatesville, pennsylvania","racism","general protestors","Protesting racist incident",0,200,200,200,42029,"4214712",13136,5633,5607,858,7803,460,0,23,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14955",2017-10-22,"east rutherford, new jersey","racism","Seattle Seahawks players","National anthem protest, protesting racial inequality",1,8,8,8,34003,"3419510",9584,584,584,2313,7187,523,138,25,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15384",2017-10-31,"framingham, massachusetts","education; racism","Students","Protesting incidents of racism on campus",0,NA,NA,NA,25017,"2524960",72308,5288,4997,13916,51702,7422,1612,1638,4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16093",2017-11-08,"champlin, minnesota","racism","Students","Protesting racist incidents on social media",0,200,200,200,27053,"2710846",24755,2631,2620,4412,16854,1784,236,203,844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16223",2017-11-12,"bethesda, maryland","racism","general protestors","Protesting usage of site of African-American burial ground",0,NA,NA,NA,24031,"2407125",63195,2674,2517,13438,44859,12326,7574,5178,1609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16322",2017-11-14,"chapel hill, north carolina","racism","general protestors","Protesting confederate statue",1,100,100,100,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16691",2017-11-15,"staunton, virginia","racism",NA,"Protesting KKK posters",0,35,40,38,51790,"5175216",24432,2754,2388,3114,17644,2036,319,421,982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16697",2017-11-17,"ocean springs, mississippi","racism","general protestors","Rallying support for confederate flag",2,6,6,6,28059,"2853520",17729,1226,1194,2665,12073,1384,239,268,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16721",2017-11-18,"troy, north carolina","racism","Committee for Better Montgomery County","Protesting confederate symbol",1,NA,NA,NA,37123,"3768520",3294,1180,775,230,2516,67,26,28,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16788",2017-11-19,"east rutherford, new jersey","racism","Olivier Vernon; Marcus Peters","National anthem protest; protesting racial inequality",1,2,2,2,34003,"3419510",9584,584,584,2313,7187,523,138,25,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17308",2017-11-25,"college park, maryland","racism","Maryland marching band members","National anthem protest; protesting racial inequality",1,12,12,12,24033,"2418750",32159,6203,4736,3091,12443,2093,321,624,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17607",2017-11-26,"foxborough, massachusetts","racism","Miami Dolphins players","National anthem protest; protesting racial inequality",1,3,3,3,25021,"2524855",6296,701,701,1254,4685,707,60,99,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17939",2017-11-30,"brookline, massachusetts","racism","Students","Protesting racist snapchat video",0,200,200,200,25021,"2509210",59180,1923,1772,12083,40345,10015,4961,6615,4204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18587",2017-12-05,"ocean springs, mississippi","racism","NAACP; Mississippi Rising Coalition","Protesting decision to fly flag with confederate symbol",1,200,200,200,28059,"2853520",17729,1226,1194,2665,12073,1384,239,268,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18841",2017-12-08,"needham, massachusetts","racism","Students","Protesting racist graffiti",0,300,300,300,25021,"2544140",30970,891,811,6156,20559,6097,2019,1352,1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
