"","date","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents"
"19","2020-03-12","ogden, utah","policing; racism","Ogden activists","against police brutality, against racism",1,NA,NA,NA,49057,"4955980",86833,1630,1506,7293,53844,2690,597,609,5232
"20","2020-03-13","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"21","2020-03-13","ellensburg, washington","covid; racism","student protestors","against anti-Asian racism in response to COVID pandemic",1,60,60,60,53037,"5321240",20167,312,245,2309,9421,729,176,373,7107
"22","2020-03-14","west linn, oregon","policing; racism","general protesters","against racism, against police violence, for police accountability, for removal of police chief Terry Kruger",1,12,12,12,41005,"4180150",26656,452,452,6703,17895,2926,884,493,1153
"23","2020-03-16","stamford, connecticut","economy; healthcare; patriotism; racism","Patriot Front","for white supremacy, for patriotism, against the pharmaceutical industry",2,15,15,15,9001,"0973000",129309,18236,18102,25263,91629,15012,3772,1835,5466
"24","2020-03-18","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"25","2020-03-20","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"26","2020-03-25","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"27","2020-03-27","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"28","2020-04-01","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"29","2020-04-03","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"30","2020-04-08","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"31","2020-04-10","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"32","2020-04-12","portland, oregon","policing; racism","","for justice for Keaton Otis, against police brutality, for police accountability, against racism",1,NA,NA,NA,41051,"4159000",645291,37456,36712,144129,478991,66042,19836,11610,39283
"33","2020-04-15","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"34","2020-04-17","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"35","2020-04-17","belchertown, massachusetts","criminal justice; immigration; policing; racism","Belchester Voices for Justice","against mass incarceration, against racism, against police brutality, for immigrants' rights, against Joe Arpaio",1,50,60,55,25015,"2504790",2874,15,15,355,2017,381,18,63,192
"36","2020-04-22","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"37","2020-04-24","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"38","2020-04-25","tallahassee, florida","criminal justice; policing; racism","general protestors","for justice for Mychael Johnson, against police violence, for community control of police, against racism, for decarceration",1,15,25,20,12073,"1270600",191279,66977,63087,27273,104182,14398,4067,4442,42560
"39","2020-04-29","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"40","2020-05-01","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"41","2020-05-02","santee, california","covid; racism","local man","pro KKK; anti stay-at-home orders during coronavirus pandemic",2,1,1,1,6073,"0670224",57797,1305,1155,8310,40067,2631,507,387,3517
"42","2020-05-03","norfolk, virginia","policing; racism","The Original Black Panthers Party; Black Lives Matter 757","against racism, against police violence, for justice for Isaiah Swift",1,NA,NA,NA,51710,"5157000",244601,100649,90964,27117,152830,11921,3038,1984,23899
"43","2020-05-05","brunswick, georgia","policing; racism","community protestors","against racism, against police violence, for justice for Ahmaud Arbery",1,100,100,100,13127,"1311560",16122,8879,8556,1252,10698,435,157,75,469
"44","2020-05-06","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"45","2020-05-06","atlanta, georgia","policing; racism","general protestors","against racism, against police violence, for justice for Ahmaud Arbery",1,NA,NA,NA,13121,"1304000",488800,249063,233453,95832,331418,49890,17613,8267,45634
"46","2020-05-06","brunswick, georgia","policing; racism","community protestors","against racism, against police violence, for justice for Ahmaud Arbery",1,NA,NA,NA,13127,"1311560",16122,8879,8556,1252,10698,435,157,75,469
"47","2020-05-07","indianapolis, indiana","policing; racism","general protesters","against racism, against police violence",1,200,200,200,18097,"1836003",864447,246837,241685,113804,568049,43229,11905,6412,42437
"48","2020-05-08","jacksonville, florida","racism","Northside Coalition","against racism, for justice for Ahmaud Arbery",1,150,150,150,12031,"1235000",890467,275605,269306,115712,604748,42327,10320,4826,49584
"49","2020-05-08","atlanta, georgia","racism","local runners","against racism, for justice for Ahmaud Arbery",1,NA,NA,NA,13121,"1304000",488800,249063,233453,95832,331418,49890,17613,8267,45634
"50","2020-05-08","brunswick, georgia","racism","community protestors","against racism, for justice for Ahmaud Arbery",1,200,300,250,13127,"1311560",16122,8879,8556,1252,10698,435,157,75,469
"51","2020-05-08","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"52","2020-05-08","des moines, iowa","racism","runners","against racism, for justice for Ahmaud Arbery",1,36,36,36,19153,"1921000",215636,24502,24019,26307,141517,7837,2373,1258,10582
"53","2020-05-08","charlottesville, virginia","racism","general protestors","against racism, for justice for Ahmaud Arbery",1,NA,NA,NA,51540,"5114968",47096,8844,8516,8041,30356,4879,1803,1956,8193
"54","2020-05-08","newport news, virginia","racism","runners","against racism, for justice for Ahmaud Arbery",1,12,12,12,51700,"5156000",179673,73785,71805,19250,116443,8739,1415,1192,13912
"55","2020-05-08","virginia beach, virginia","racism","North End Run Club","against racism, for justice for Ahmaud Arbery",1,NA,NA,NA,51810,"5182000",450201,85609,83304,69469,307059,31382,6304,3425,27938
"56","2020-05-09","anniston, alabama","racism","New Harvest Christian Center","against racism, for justice for Ahmaud Arbery",1,NA,NA,NA,1015,"0101852",21688,11281,10980,1714,15265,1106,221,144,660
"57","2020-05-09","saint cloud, florida","policing; racism","community protestors","for justice for Jashean Hodge, against police brutality, for police accountability, against racism",1,NA,NA,NA,12097,"1262625",51158,4544,4466,4479,33335,1165,283,149,2165
"58","2020-05-09","brunswick, georgia","racism","general protestors","against racism, for justice for Ahmaud Arbery",1,NA,NA,NA,13127,"1311560",16122,8879,8556,1252,10698,435,157,75,469
"59","2020-05-09","indianapolis, indiana","policing; racism","general protestors","against racism, against police violence, for police accountability",1,50,50,50,18097,"1836003",864447,246837,241685,113804,568049,43229,11905,6412,42437
"60","2020-05-12","portland, oregon","policing; racism","","for justice for Keaton Otis, against police brutality, for police accountability, against racism",1,NA,NA,NA,41051,"4159000",645291,37456,36712,144129,478991,66042,19836,11610,39283
"61","2020-05-15","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"62","2020-05-15","new york, new york","covid; policing; racism","Black Lives Matter; Crisis Action Center","against racism, against police brutality, against discriminatory enforcement of COVID-related mandates",1,NA,NA,NA,36047,"3651000",8419316,2046877,2006014,1315727,5935215,662673,191803,91076,469139
"63","2020-05-16","brunswick, georgia","judiciary; racism","general protestors","for justice for Ahmaud Arbery, against racism, for removal of district attorneys",1,200,200,200,13127,"1311560",16122,8879,8556,1252,10698,435,157,75,469
"64","2020-05-16","lisbon, ohio","civil rights; free speech; policing; presidency; racism","Anonymous Columbus Ohio","against arrest of protester at Free Ohio Now event on May 9, against local law enforcement, for First Amendment rights, for President Trump, for Confederate heritage",2,3,3,3,39029,"3944030",2695,50,29,150,1844,80,22,11,51
"65","2020-05-20","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"66","2020-05-22","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"67","2020-05-23","brunswick, georgia","racism","The Lambda Tau chapter of the Omega Psi Phi fraternity","against racism, for justice for Ahmaud Arbery",1,200,200,200,13127,"1311560",16122,8879,8556,1252,10698,435,157,75,469
"68","2020-05-23","houston, texas","racism","slab riders","against racism, for justice for Ahmaud Arbery",1,NA,NA,NA,48201,"4835000",2310432,521871,510399,300873,1503215,129802,39373,24306,123396
"69","2020-05-25","san bernardino, california","patriotism; racism","Patriot Front","for white supremacy, for patriotism",2,12,16,14,6071,"0665000",216089,31000,28758,10370,125498,3327,765,491,15570
"70","2020-05-25","frankfort, kentucky","racism","general protesters","in support of Governor Beshear, against hate",0,NA,NA,NA,21073,"2128900",27680,3683,3030,3628,19245,1849,207,137,1796
"71","2020-05-25","gettysburg, pennsylvania","patriotism; racism","Patriot Front","for white supremacy, for patriotism",2,20,22,21,42001,"4228960",7689,387,335,570,3780,456,48,229,2788
"72","2020-05-25","la porte, texas","patriotism; racism","Patriot Front","for white supremacy, for patriotism",2,8,12,10,48201,"4841440",35246,2189,2189,2732,24406,915,112,126,1918
"73","2020-05-26","los angeles, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"74","2020-05-26","chicago, illinois","policing; racism","general protesters","antiracism; against police brutality; for justice for George Floyd",1,50,70,60,17031,"1714000",2709534,802460,784065,435959,1875020,211185,62358,30738,147374
"75","2020-05-26","hammond, indiana","policing; racism","general protesters","antiracism; against police brutality",1,60,80,70,18089,"1831000",76547,17094,16773,5127,48816,1560,240,73,4277
"76","2020-05-26","pittsfield, massachusetts","policing; racism","Survivors Speak","against police brutality, against racism, for police accountability",1,50,50,50,26161,"2553960",42766,1905,1836,5591,31531,2542,595,255,1424
"77","2020-05-26","minneapolis, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,3000,3000,3000,27053,"2743000",420324,80664,78301,85202,280424,38007,11244,7010,37317
"78","2020-05-26","minneapolis, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,27053,"2743000",420324,80664,78301,85202,280424,38007,11244,7010,37317
"79","2020-05-26","saint paul, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27123,"2758000",304547,48996,48202,46719,193572,21068,5900,5263,22412
"80","2020-05-26","houston, texas","policing; racism","Black Lives Matter Houston Chapter","antiracism; against police brutality",1,200,200,200,48201,"4835000",2310432,521871,510399,300873,1503215,129802,39373,24306,123396
"81","2020-05-26","suffolk, virginia","policing; racism","general protesters","antiracism; against police brutality",1,2,2,2,51800,"5176432",90093,37648,37307,10580,60972,5766,1064,563,4115
"82","2020-05-27","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"83","2020-05-27","los angeles, california","policing; racism","Black Lives Matter-LA","antiracism; against police brutality",1,200,300,250,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"84","2020-05-27","santee, california","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,6073,"0670224",57797,1305,1155,8310,40067,2631,507,387,3517
"85","2020-05-27","sacramento, california","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,6067,"0664000",500930,66004,64339,71909,339153,26271,9725,4388,35440
"86","2020-05-27","marco island, florida","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,12021,"1243083",17834,13,13,4523,15780,1737,535,281,242
"87","2020-05-27","tallahassee, florida","policing; racism","Tallahassee Community Action Committee","against police violence, against racism, for justice for Wilbon Woodard",1,NA,NA,NA,12073,"1270600",191279,66977,63087,27273,104182,14398,4067,4442,42560
"88","2020-05-27","evansville, indiana","policing; racism","general protesters","antiracism; against police brutality",1,1,1,1,18163,"1822000",118588,15556,15159,11817,82139,4236,899,716,6097
"89","2020-05-27","haverhill, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,12,12,12,25009,"2529405",63533,2310,2253,8792,43435,3295,501,342,2837
"90","2020-05-27","pittsfield, massachusetts","policing; racism","Survivors Speak","against police brutality, against racism, for police accountability",1,100,100,100,26161,"2553960",42766,1905,1836,5591,31531,2542,595,255,1424
"91","2020-05-27","duluth, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27137,"2717000",85915,1959,1572,12608,53572,4791,1530,1370,12667
"92","2020-05-27","minneapolis, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,27053,"2743000",420324,80664,78301,85202,280424,38007,11244,7010,37317
"93","2020-05-27","oakdale, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27163,"2747680",27963,2701,2697,4279,19501,1514,192,199,1646
"94","2020-05-27","saint paul, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,27123,"2758000",304547,48996,48202,46719,193572,21068,5900,5263,22412
"95","2020-05-27","willingboro, new jersey","policing; racism","general protesters","antiracism; against police brutality",1,12,12,12,34005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2020-05-27","memphis, tennessee","racism","Confederate 901","against anti-racism protesters, all lives matter",2,NA,NA,NA,47157,"4748000",651932,417973,408034,66139,421282,30037,8596,5503,33623
"97","2020-05-27","memphis, tennessee","policing; racism","general protesters","antiracism; against police brutality",1,50,100,75,47157,"4748000",651932,417973,408034,66139,421282,30037,8596,5503,33623
"98","2020-05-27","spotsylvania courthouse, virginia","patriotism; racism","Patriot Front","for white supremacy, for patriotism",2,10,12,11,51177,"5174470",4607,742,742,476,2922,191,69,27,247
"99","2020-05-27","olympia, washington","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,53067,"5351300",51534,1354,1191,9215,37309,4939,1355,773,3234
"100","2020-05-28","birmingham, alabama","policing; racism","Alabama Rally Against Injustice","antiracism; against police brutality",1,100,100,100,1073,"0107000",212297,148297,145320,25015,146827,9474,3550,2170,13881
"101","2020-05-28","huntsville, alabama","policing; racism","African People's Socialist Party","antiracism; against police brutality",1,NA,NA,NA,1089,"0137000",196219,60326,55224,35243,133527,18419,2339,2917,16043
"102","2020-05-28","troy, alabama","policing; racism","general protester","antiracism; against police brutality",1,1,1,1,1109,"0176920",19112,7354,6747,1601,9809,875,216,275,4856
"103","2020-05-28","fort smith, arkansas","policing; racism","general protesters","antiracism; against police brutality; for justice for George Floyd",1,NA,NA,NA,5131,"0524550",87743,8333,8181,8628,57674,2594,771,596,4737
"104","2020-05-28","phoenix, arizona","policing; racism","All Black Lives Matter","antiracism; against police brutality",1,200,300,250,4013,"0455000",1633017,116207,113532,191412,1047497,76720,20747,10970,77654
"105","2020-05-28","fontana, california","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,6071,"0624680",210759,18634,18356,17035,125071,4625,616,302,15182
"106","2020-05-28","hayward, california","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,6001,"0633000",159293,15214,14749,21972,109162,6529,936,828,11883
"107","2020-05-28","los angeles, california","policing; racism","general protesters","antiracism; against police brutality",1,500,1000,750,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"108","2020-05-28","los angeles, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"109","2020-05-28","los angeles, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"110","2020-05-28","oakland, california","policing; racism","Black Lives Matter","antiracism; against police brutality",1,NA,NA,NA,6001,"0653000",425097,100966,99868,77864,308577,38590,11609,7821,23216
"111","2020-05-28","oakland, california","policing; racism","general protesters","antiracism; against police brutality",1,24,60,42,6001,"0653000",425097,100966,99868,77864,308577,38590,11609,7821,23216
"112","2020-05-28","san jose, california","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,6085,"0668000",1027690,30813,30041,181185,705928,96023,14198,17354,70050
"113","2020-05-28","santa monica, california","policing; racism","Black Lives Matter","antiracism; against police brutality",1,24,24,24,6037,"0670000",91577,4100,3958,28253,72261,12559,5463,2788,4137
"114","2020-05-28","santa monica, california","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,6037,"0670000",91577,4100,3958,28253,72261,12559,5463,2788,4137
"115","2020-05-28","vallejo, california","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,6095,"0681666",121267,24617,24348,15833,84568,4021,1159,793,6812
"116","2020-05-28","vallejo, california","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,6095,"0681666",121267,24617,24348,15833,84568,4021,1159,793,6812
"117","2020-05-28","colorado springs, colorado","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,8041,"0816000",464871,30286,29636,74846,307517,37019,6100,4685,28670
"118","2020-05-28","denver, colorado","policing; racism","general protesters","antiracism; against police brutality; for justice for George Floyd",1,2000,2000,2000,8031,"0820000",705576,65215,63664,153502,508718,66425,21556,10016,34211
"119","2020-05-28","fort collins, colorado","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,8069,"0827425",165609,2577,2276,31371,97230,16314,2341,3899,27218
"120","2020-05-28","windermere, florida","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,12095,"1278050",3430,68,68,1057,2513,422,243,53,195
"121","2020-05-28","cedar rapids, iowa","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,19113,"1912000",132301,10324,9906,20304,88549,5867,1337,876,7702
"122","2020-05-28","chicago, illinois","policing; racism","general protesters","antiracism; against police brutality; for justice for George Floyd",1,NA,NA,NA,17031,"1714000",2709534,802460,784065,435959,1875020,211185,62358,30738,147374
"123","2020-05-28","louisville, kentucky","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,21111,"2148006",617790,145816,142530,75664,421817,35886,9509,5148,29984
"124","2020-05-28","louisville, kentucky","policing; racism","general protesters","antiracism; against police brutality; for justice for George Floyd and Breonna Taylor",1,200,2000,1100,21111,"2148006",617790,145816,142530,75664,421817,35886,9509,5148,29984
"125","2020-05-28","madisonville, kentucky","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,21107,"2149368",18936,2236,2104,1516,12616,674,314,122,559
"126","2020-05-28","boston, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,25025,"2507000",684379,172651,168762,128045,473775,68687,22563,16331,74170
"127","2020-05-28","framingham, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,30,30,30,25017,"2524960",72308,5288,4997,13916,51702,7422,1612,1638,4363
"128","2020-05-28","haverhill, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,25009,"2529405",63533,2310,2253,8792,43435,3295,501,342,2837
"129","2020-05-28","ann arbor, michigan","policing; racism","general protesters","antiracism; against police brutality; demand Sha' Tenia El Gray be released",1,200,300,250,26161,"2603000",120735,8211,7216,20201,66802,17971,4746,7837,29528
"130","2020-05-28","lansing, michigan","policing; racism","Legally Armed in Detroit","antiracism; against police brutality",1,50,50,50,26065,"2646000",117159,27280,26890,12645,75970,5250,1039,936,8239
"131","2020-05-28","pittsfield, massachusetts","policing; racism","Survivors Speak","against racism, against police brutality",1,300,300,300,26161,"2553960",42766,1905,1836,5591,31531,2542,595,255,1424
"132","2020-05-28","apple valley, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,2,2,2,27037,"2701900",52889,4585,4578,10861,35461,3966,731,411,2418
"133","2020-05-28","blaine, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,2,2,2,27003,"2706382",64114,3785,3765,10340,42574,3501,532,470,2517
"134","2020-05-28","brainerd, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,60,60,60,27035,"2707300",13373,366,335,891,8883,324,82,67,511
"135","2020-05-28","duluth, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,27137,"2717000",85915,1959,1572,12608,53572,4791,1530,1370,12667
"136","2020-05-28","fridley, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,6,6,6,27003,"2722814",27668,4521,4513,4049,19101,1528,270,93,1265
"137","2020-05-28","maplewood, minnesota","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,27123,"2740382",40545,4055,3831,5754,28639,2406,633,344,1740
