"","date","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents"
"633",2017-09-21,"township, new jersey","racism","students, faculty","Rally against white nationalism",1,200,200,200,34015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650",2017-09-27,"olympia, oregon","racism","students; faculty; general protest","Rally for healing from last semester's alleged institutional racism",0,200,200,200,53067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651",2017-09-27,"colchester, vermont","racism","Students, faculty","Rallying for racial justice, take a knee",1,75,75,75,50007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672",2017-10-01,"maplewood, new jersey","racism","general protestors","Rally for racial justice",1,NA,NA,NA,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",2017-10-04,"mountainlair, west virginia","racism","general protestors","Rally to raise issue of racial inequality",0,24,24,24,54061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698",2017-10-14,"moorehead, minnesota","racism","general protestor","Rally for Humanity and Against White Supremacy",0,100,100,100,27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",2017-10-16,"chestnut hill, massachusetts","education; racism","Students","Protesting recent racist incidents on campus",0,200,200,200,25017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",2017-10-20,"chestnut hill, massachusetts","education; racism","Students","Protesting racist incident on campus",0,200,200,200,25017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",2017-10-21,"ewing, new jersey","racism","general protestors","Take a knee protest; protesting racial inequality",1,50,50,50,34021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736",2017-10-27,"monroe, new jersey","racism","football player","National anthem protest; protesting racial inequality",1,NA,NA,NA,34023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754",2017-11-06,"edison, new jersey","racism","general protestors","Rallying against racism, hatred",0,150,150,150,34023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755",2017-11-06,"blackburg, virginia","education; racism","Students","Protesting racist incidents on campus",0,100,100,100,51121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882",2018-01-14,"lorain, virginia","racism","general protestors","March for racial equality",1,NA,NA,NA,39093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885",2018-01-15,"montgomary, alabama","racism","general protestors","MLK Civil Justice march",1,NA,NA,NA,1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928",2018-01-15,"abbeville, mississippi","presidency; racism","general protestors","Protesting Trump's racist comments",1,70,70,70,28071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939",2018-01-15,"carlisle, new york","racism","general protestors","Rallying for racial equality",1,200,200,200,36095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978",2018-01-16,"indiannapolis, indiana","racism","general protestors","Rallying for stronger hate crime laws",0,100,100,100,18097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989",2018-01-25,"south hadley, massachusetts","racism","Students","Protesting racist social media post",0,25,25,25,25015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044",2018-02-17,"south hadley, massachusetts","racism","general protestors","Rallying for racial justice",1,8,8,8,25015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049",2018-02-18,"freemont, nebraska","racism","general protestors","Anti-Hate Rally; Counter Protest",0,NA,NA,NA,31053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1121",2018-04-05,"jamaica plain, massachusetts","policing; racism","general protestors","Rallying in support of Black Lives Matter",1,15,15,15,25025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143",2018-04-18,"bloomfield, connecticut","racism","general protestors","Protesting Starbucks' racism",0,NA,NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155",2018-04-21,"draketown, georgia","racism","The National Socialist Movement","White supremacist rally",2,NA,NA,NA,13143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",2018-04-22,"fort meyers, florida","racism","The Sons of Confederate Soldiers","Rallying for confederate statues",2,NA,NA,NA,12071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178",2018-05-01,"druham, new hampshire","racism","UNH Black Student Union. general protestors","protesting use of hate speech; appearance by David Rubin",1,28,28,28,33017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181",2018-05-03,"jamaica plain, massachusetts","racism","general protestors","Rallying for racial equality",1,12,12,12,25025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1345",2018-06-25,"university park, pennsylvania","policing; racism","general protestors","Calling for justice for Antwon Rose; protesting police violence against people of color",1,20,20,20,42027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",2018-07-15,"stapleton, colorado","racism","general protestors","protesting racism",0,24,24,24,8031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1392",2018-08-05,"spartanburg county, south carolina","racism","South Carolina Secessionist Party Upstate division","support restoring Confederate monuments",2,NA,NA,NA,45083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1449",2018-09-06,"sierra vista, california","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,6039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1450",2018-09-06,"pilot mound, iowa","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate; First Nation Farmer Climate Unity March","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,19015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1487",2018-09-08,"gualala, california","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,6045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493",2018-09-08,"roseburg, california","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1501",2018-09-08,"venice, california","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1521",2018-09-08,"salisbury, connecticut","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1542",2018-09-08,"kailua kona, hawaii","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,15001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1548",2018-09-08,"otho, iowa","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate; First Nation Farmer Climate Unity March","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,19187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1567",2018-09-08,"colrain, massachusetts","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,25011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1568",2018-09-08,"east boston, massachusetts","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,25025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1570",2018-09-08,"hyannis, massachusetts","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,25001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571",2018-09-08,"natick, massachusetts","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,25017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1572",2018-09-08,"providence, massachusetts","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,175,175,175,25001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578",2018-09-08,"clarksville, maryland","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,24027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1629",2018-09-08,"annandale-on-hudson, new york","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,36027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1635",2018-09-08,"croton on hudson, new york","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,36119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1648",2018-09-08,"westport, new york","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,36031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1652",2018-09-08,"north lima, ohio","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,2,2,2,39099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654",2018-09-08,"paden, oklahoma","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,40107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1658",2018-09-08,"south beach, oregon","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,41041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1669",2018-09-08,"vermillon, south dakota","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,46027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1686",2018-09-08,"natural bridge, virginia","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,51163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1714",2018-09-08,"minocqua, wisconsin","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,24,24,24,55085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1715",2018-09-08,"minona, wisconsin","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,55025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1729",2018-09-09,"brimfield, massachusetts","development; economy; energy; environment; indigenous peoples; labor; racism","Rise for Climate","for action against climate change; environmental, racial, and economic justice for all; no new fossil fuel development and a managed decline of existing fossil fuel production; a just transition to 100% renewable energy that protects workers, Indigenous peoples and frontline communities, both in these extractive industries and more broadly, and ensures family-sustaining jobs with the right to unionize, that are safe for people and the planet; just and equitable resiliency and recovery efforts led by the communities most impacted",1,NA,NA,NA,25013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1809",2018-10-23,"south orange, new jersey","education; racism","Concerned 44","for more funding for Africana Studies and Latino/Latina Studies and more support for racial and ethnic diversity at Seton Hall University",0,24,24,24,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1818",2018-10-28,"woodland hills, louisiana","racism","Interfaith Solidarity Network","second annual Interfaith Solidarity March turned into condemnation of bigotry after Pittsburgh shooting",0,200,200,200,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1859",2018-11-17,"washington, florida","racism","St. Paul AME Church","Against Confederate monuments",1,150,150,150,12133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1863",2018-11-17,"corpus chrisi, texas","lgbtqia; racism; women's rights","general protesters","rallying against the murders of black trans women",0,NA,NA,NA,48355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1906",2019-01-15,"hamboldt county, california","racism","general protestors","protesting racism and injusticies; honoring MLK; demanding justice for the death of Josiah Lawson",1,50,50,50,6023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914",2019-01-19,"mentone, alabama","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,15,15,15,1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927",2019-01-19,"idyllwild, california","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","@womensmarch_ca","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,NA,NA,NA,6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",2019-01-19,"east haddam, connecticut","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","general protestors","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,NA,NA,NA,9007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",2019-01-19,"east haddam, connecticut","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",NA,78,78,78,9007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977",2019-01-19,"kent, connecticut","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,100,100,100,9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001",2019-01-19,"kona, hawaii","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,40,40,40,15001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2036",2019-01-19,"martha's vineyard, massachusetts","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,NA,NA,NA,25007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2046",2019-01-19,"bethel, maine","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,NA,NA,NA,23017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2060",2019-01-19,"houghton/hancock, michigan","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March on Washington Michigan Chapter","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,NA,NA,NA,26061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2088",2019-01-19,"jackson, new hampshire","civil rights; disability rights; economy; environment; immigration; labor; lgbtqia; racism; reproductive rights; women's rights","Women's March","for women's rights, against violence against women and femmes, for ending state violence, for reproductive rights, for racial justice, for LGBTQIA+ rights, for immigrants' rights, for economic justice and workers' rights, for civil rights, for disability rights, for environmental justice",1,33,33,33,33003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
